"features" "measure" "axis" "activity" "subject" "average"
"1" "tBodyGyro" "mean" "X" "LAYING" 1 -0.016553093978
"2" "tBodyGyro" "mean" "X" "LAYING" 2 -0.01847660675
"3" "tBodyGyro" "mean" "X" "LAYING" 3 -0.0208170540330645
"4" "tBodyGyro" "mean" "X" "LAYING" 4 -0.00923156347222222
"5" "tBodyGyro" "mean" "X" "LAYING" 5 -0.0218935013501923
"6" "tBodyGyro" "mean" "X" "LAYING" 6 -0.0079605026754386
"7" "tBodyGyro" "mean" "X" "LAYING" 7 -0.00282641913096154
"8" "tBodyGyro" "mean" "X" "LAYING" 8 0.00535361206851852
"9" "tBodyGyro" "mean" "X" "LAYING" 9 -0.013632036148
"10" "tBodyGyro" "mean" "X" "LAYING" 10 -0.019555937162069
"11" "tBodyGyro" "mean" "X" "LAYING" 11 -0.0191743840136842
"12" "tBodyGyro" "mean" "X" "LAYING" 12 -0.0146546807316667
"13" "tBodyGyro" "mean" "X" "LAYING" 13 -0.00973609968045161
"14" "tBodyGyro" "mean" "X" "LAYING" 14 0.00505221181607843
"15" "tBodyGyro" "mean" "X" "LAYING" 15 -0.0168300887791667
"16" "tBodyGyro" "mean" "X" "LAYING" 16 -0.0161545406857143
"17" "tBodyGyro" "mean" "X" "LAYING" 17 -0.0234756467113239
"18" "tBodyGyro" "mean" "X" "LAYING" 18 -0.02517618068
"19" "tBodyGyro" "mean" "X" "LAYING" 19 -0.0312072730559566
"20" "tBodyGyro" "mean" "X" "LAYING" 20 -0.0231760616308824
"21" "tBodyGyro" "mean" "X" "LAYING" 21 -0.0305126188777778
"22" "tBodyGyro" "mean" "X" "LAYING" 22 -0.0208311371125
"23" "tBodyGyro" "mean" "X" "LAYING" 23 -0.0113399724663889
"24" "tBodyGyro" "mean" "X" "LAYING" 24 -0.0143679929444444
"25" "tBodyGyro" "mean" "X" "LAYING" 25 0.00372723459589041
"26" "tBodyGyro" "mean" "X" "LAYING" 26 -0.0170656239526316
"27" "tBodyGyro" "mean" "X" "LAYING" 27 -0.0195427328781081
"28" "tBodyGyro" "mean" "X" "LAYING" 28 -0.017367705735
"29" "tBodyGyro" "mean" "X" "LAYING" 29 -0.0258281004782609
"30" "tBodyGyro" "mean" "X" "LAYING" 30 -0.0267812218571429
"31" "tBodyGyro" "mean" "X" "SITTING" 1 -0.045350056512766
"32" "tBodyGyro" "mean" "X" "SITTING" 2 -0.0454706620434783
"33" "tBodyGyro" "mean" "X" "SITTING" 3 -0.0385365204807692
"34" "tBodyGyro" "mean" "X" "SITTING" 4 -0.04944351156
"35" "tBodyGyro" "mean" "X" "SITTING" 5 -0.0422355209795455
"36" "tBodyGyro" "mean" "X" "SITTING" 6 -0.0372442282830909
"37" "tBodyGyro" "mean" "X" "SITTING" 7 -0.04963797197125
"38" "tBodyGyro" "mean" "X" "SITTING" 8 -0.0547396987173913
"39" "tBodyGyro" "mean" "X" "SITTING" 9 -0.042328876778
"40" "tBodyGyro" "mean" "X" "SITTING" 10 -0.0432432176851852
"41" "tBodyGyro" "mean" "X" "SITTING" 11 -0.0399984915849057
"42" "tBodyGyro" "mean" "X" "SITTING" 12 -0.0424159182941176
"43" "tBodyGyro" "mean" "X" "SITTING" 13 -0.0355124856836735
"44" "tBodyGyro" "mean" "X" "SITTING" 14 -0.0440403326851852
